Date,GDP,Amazon
2008-01-01,14668.4,4
2008-04-01,14813.0,4.333333333
2008-07-01,14843.0,5
2008-10-01,14549.9,6
2009-01-01,14383.9,5.333333333
2009-04-01,14340.4,4.666666667
2009-07-01,14384.1,3.666666667
2009-10-01,14566.5,5.666666667
2010-01-01,14681.1,5
2010-04-01,14888.6,6.666666667
2010-07-01,15057.7,10.66666667
2010-10-01,15230.2,3
2011-01-01,15238.4,16
2011-04-01,15460.9,17.33333333
2011-07-01,15587.1,17.66666667
2011-10-01,15785.3,23.66666667
2012-01-01,15973.9,23.33333333
2012-04-01,16121.9,24.66666667
2012-07-01,16227.9,16.66666667
2012-10-01,16297.3,21.33333333
2013-01-01,16475.4,18.33333333
2013-04-01,16541.4,18
2013-07-01,16749.3,20.33333333
2013-10-01,16999.9,26
2014-01-01,17025.2,24.33333333
2014-04-01,17285.6,27.33333333
2014-07-01,17569.4,35.66666667
2014-10-01,17692.2,50
2015-01-01,17783.6,43.33333333
2015-04-01,17998.3,42.33333333
2015-07-01,18141.9,53.66666667
2015-10-01,18222.8,80
2016-01-01,18281.6,67.66666667
2016-04-01,18450.1,69
2016-07-01,18675.3,77.33333333
2016-10-01,18855.5,85.33333333